,distance,consume,speed,temp_inside,temp_outside,AC,rain,sun,gas_type_E10,gas_type_SP98
293,13.3,4.6,33,22.0,18,0,0,0,0,1
281,15.4,4.6,43,22.0,16,0,0,0,0,1
176,12.4,5.3,38,21.0,-5,0,0,0,1,0
199,6.1,5.6,24,21.5,13,0,0,0,0,1
248,12.3,5.2,57,22.5,15,0,0,1,1,0
130,15.9,5.7,46,21.5,5,0,0,0,0,1
189,130.3,4.6,85,22.0,12,0,0,0,1,0
129,11.8,4.3,44,21.5,-3,0,0,0,0,1
115,4.9,6.3,27,20.5,3,0,0,0,0,1
173,11.8,4.9,44,21.5,0,0,0,0,1,0
245,11.8,6.1,16,22.5,6,0,1,0,1,0
330,39.5,4.2,58,22.0,25,0,0,0,1,0
15,17.3,5.1,24,21.5,5,0,0,0,1,0
60,2.9,7.9,18,21.5,9,1,1,0,0,1
67,12.3,5.4,55,21.5,8,0,0,0,0,1
351,16.0,4.1,46,22.0,17,0,0,0,0,1
2,11.2,5.5,38,21.5,15,0,0,0,1,0
155,36.6,5.2,80,21.5,7,0,1,0,1,0
308,10.1,4.2,35,22.0,16,0,0,0,0,1
6,7.8,4.4,43,21.5,11,0,0,0,1,0
354,18.3,4.3,46,22.0,23,0,0,0,0,1
116,11.8,5.1,26,23.0,4,0,1,0,0,1
345,16.0,4.0,42,22.0,15,0,0,0,1,0
242,9.2,5.7,33,22.5,8,0,1,0,1,0
77,24.8,5.1,50,21.5,9,0,0,0,0,1
228,13.0,5.7,38,22.5,3,1,1,0,0,1
367,15.4,5.0,48,25.5,31,1,0,0,0,1
287,28.8,3.9,35,22.0,15,0,0,1,0,1
241,17.4,4.4,36,22.5,12,0,0,1,1,0
206,2.4,9.0,26,20.0,10,0,0,0,0,1
167,12.3,6.1,40,21.5,6,0,0,0,1,0
33,32.6,4.8,40,21.5,7,0,0,0,1,0
85,12.3,6.2,58,20.0,11,0,1,0,0,1
387,14.7,5.0,25,25.0,30,1,0,0,0,1
163,18.9,4.4,53,21.5,2,0,0,0,1,0
140,11.8,4.3,40,21.5,10,0,1,0,1,0
208,18.1,3.6,36,20.0,19,0,0,0,0,1
78,12.4,4.7,56,21.5,7,0,0,0,0,1
359,17.3,4.2,36,22.0,22,0,0,0,0,1
143,7.0,5.2,25,21.5,17,0,0,0,1,0
240,12.4,4.6,55,22.5,11,0,0,1,1,0
151,9.9,5.0,28,21.5,9,0,0,0,1,0
164,43.5,5.0,80,21.5,3,0,0,0,1,0
182,12.4,5.2,51,22.5,1,0,0,0,1,0
141,12.3,5.4,58,21.5,13,0,0,0,1,0
363,15.4,4.3,39,22.0,23,0,0,0,0,1
104,12.4,5.4,18,21.0,11,1,1,0,0,1
22,17.9,5.7,37,21.5,1,0,0,0,1,0
80,14.2,5.4,36,20.0,6,0,0,0,0,1
119,12.9,5.8,40,23.0,4,0,0,0,0,1
112,5.1,8.7,21,23.5,5,0,0,0,0,1
317,41.9,4.7,53,22.0,14,0,0,0,0,1
132,16.1,4.5,33,21.5,6,0,0,0,0,1
37,4.9,7.4,26,21.5,6,0,0,0,1,0
260,25.7,5.0,45,22.5,7,0,0,0,1,0
48,11.8,4.9,25,21.5,11,0,0,0,0,1
338,16.0,4.2,41,22.0,15,0,0,0,1,0
274,25.7,4.9,50,22.0,10,0,1,0,0,1
89,13.9,5.6,22,20.0,8,0,0,0,0,1
213,6.4,4.7,33,20.0,8,0,0,0,0,1
144,11.8,4.1,37,21.5,10,0,0,0,1,0
73,9.7,3.9,42,21.5,8,0,0,0,0,1
5,8.3,6.4,50,21.5,10,0,0,0,1,0
17,11.8,5.1,32,21.5,3,0,0,0,1,0
92,12.5,4.0,51,20.0,13,0,0,0,0,1
162,53.2,5.1,71,21.5,2,0,0,0,1,0
41,4.5,5.0,29,21.5,7,1,0,0,1,0
44,5.4,3.3,32,21.5,7,0,0,0,0,1
190,67.2,4.3,67,22.0,18,0,0,0,1,0
82,10.5,3.6,42,20.0,10,0,0,0,0,1
253,17.0,3.9,46,22.5,14,0,0,1,1,0
