distance,consume,speed,gas_SP98,temp_inside,temp_outside,AC,rain,snow,sun,trip_price
12.3,6.1,61,1,21.5,10,0,1,0,0,8.905999860763549
16.1,5.4,24,0,21.5,7,0,1,0,0,7.452000131607054
11.8,4.3,40,0,21.5,10,0,1,0,0,5.934000263214111
12.3,5.4,58,0,21.5,13,0,0,0,0,7.452000131607054
12.4,4.3,49,0,21.5,17,0,0,0,0,5.934000263214111
7.0,5.2,25,0,21.5,17,0,0,0,0,7.175999736785887
11.8,4.1,37,0,21.5,10,0,0,0,0,5.657999868392944
20.1,4.4,41,0,21.5,18,0,0,0,0,6.072000131607054
20.8,4.5,45,0,21.5,10,0,0,0,0,6.209999999999999
1.7,10.8,14,0,21.5,10,0,1,0,0,14.904000263214108
35.9,4.7,45,0,21.5,12,0,0,0,0,6.485999736785887
36.9,4.8,52,0,21.5,5,0,0,0,0,6.6240002632141115
16.8,4.0,46,0,21.5,8,0,0,0,0,5.52
9.9,5.0,28,0,21.5,9,0,0,0,0,6.9
22.9,4.6,61,0,21.5,7,0,1,0,0,6.347999868392943
17.3,5.0,61,0,21.5,6,1,1,0,0,6.9
11.8,4.3,37,0,21.5,7,0,0,0,0,5.934000263214111
36.6,5.2,80,0,21.5,7,0,1,0,0,7.175999736785887
44.9,4.7,62,0,21.5,8,0,0,0,0,6.485999736785887
11.8,4.2,34,0,21.5,9,0,1,0,0,5.7959997367858875
21.6,5.3,44,0,21.5,9,0,1,0,0,7.314000263214111
39.4,5.3,60,0,21.5,9,0,1,0,0,7.314000263214111
5.1,8.1,39,0,21.5,4,0,0,0,0,11.178000526428221
26.6,4.8,38,0,21.5,7,0,0,0,0,6.6240002632141115
53.2,5.1,71,0,21.5,2,0,0,0,0,7.037999868392944
18.9,4.4,53,0,21.5,2,0,0,0,0,6.072000131607054
43.5,5.0,80,0,21.5,3,0,0,0,0,6.9
6.1,6.3,26,0,21.5,5,0,0,0,0,8.694000263214111
16.4,4.8,49,0,21.5,5,0,0,0,0,6.6240002632141115
12.3,6.1,40,0,21.5,6,0,0,0,0,8.417999868392942
21.1,4.6,36,0,21.5,8,0,0,0,0,6.347999868392943
21.1,4.8,43,0,21.5,7,0,0,0,0,6.6240002632141115
22.7,4.7,55,0,21.5,6,0,0,0,0,6.485999736785887
44.4,4.8,38,0,21.5,8,0,0,0,0,6.6240002632141115
35.8,4.4,51,0,21.5,6,0,0,0,0,6.072000131607054
11.8,4.9,44,0,21.5,0,0,0,0,0,6.762000131607056
26.2,4.9,42,0,21.5,6,0,0,0,0,6.762000131607056
40.6,4.4,44,0,21.0,3,0,0,0,0,6.072000131607054
12.4,5.3,38,0,21.0,-5,0,0,0,0,7.314000263214111
14.1,5.3,47,0,21.0,-3,0,0,0,0,7.314000263214111
58.7,4.8,75,0,21.0,0,0,0,0,0,6.6240002632141115
16.2,5.2,29,0,21.0,0,0,0,0,0,7.175999736785887
12.3,4.9,50,0,22.5,0,0,0,0,0,6.762000131607056
12.3,7.1,52,0,22.5,0,1,0,1,0,9.797999868392942
12.4,5.2,51,0,22.5,1,0,0,0,0,7.175999736785887
31.8,4.7,59,0,22.5,3,0,0,0,0,6.485999736785887
12.3,5.1,55,0,22.5,8,0,0,0,0,7.037999868392944
51.6,5.0,73,0,22.5,12,0,0,0,0,6.9
38.6,4.6,44,0,22.5,10,0,0,0,0,6.347999868392943
12.3,4.8,41,0,22.5,7,0,0,0,0,6.6240002632141115
81.2,4.4,69,0,22.0,13,0,0,0,0,6.072000131607054
130.3,4.6,85,0,22.0,12,0,0,0,0,6.347999868392943
67.2,4.3,67,0,22.0,18,0,0,0,0,5.934000263214111
43.7,4.7,44,1,22.0,9,0,1,0,0,6.8619997215270985
12.1,4.2,43,1,22.0,4,0,0,0,0,6.1319997215271
56.1,4.8,82,1,22.0,13,0,0,0,0,7.008000278472901
39.0,4.1,61,1,22.0,16,0,0,0,0,5.98599986076355
11.8,4.5,41,1,21.5,13,0,0,0,0,6.57
38.5,4.8,63,1,21.5,14,0,0,0,0,7.008000278472901
28.2,4.6,54,1,21.5,14,0,0,0,0,6.7159998607635485
2.9,7.4,24,1,21.5,14,0,0,0,0,10.80400013923645
6.1,5.6,24,1,21.5,13,0,0,0,0,8.17599986076355
19.6,4.9,43,1,21.5,13,0,0,0,0,7.15400013923645
22.2,3.8,42,1,21.929522,15,0,0,0,0,5.547999930381775
13.6,4.5,44,1,19.0,18,0,0,0,0,6.57
12.6,4.1,33,1,21.929522,17,0,0,0,0,5.98599986076355
8.7,5.3,28,1,22.5,12,1,1,0,0,7.7380002784729
7.9,4.7,31,1,22.5,12,1,0,0,0,6.8619997215270985
2.4,9.0,26,1,20.0,10,0,0,0,0,13.14
4.9,6.3,26,1,20.0,10,0,0,0,0,9.1980002784729
18.1,3.6,36,1,20.0,19,0,0,0,0,5.2559998607635485
25.9,3.7,39,1,20.0,21,0,0,0,0,5.402000069618225
1.3,11.5,21,1,20.0,10,0,0,0,0,16.79
14.1,5.0,22,1,20.0,12,0,0,0,0,7.3
13.4,5.5,31,1,20.0,9,0,0,0,0,8.03
6.4,4.7,33,1,20.0,8,0,0,0,0,6.8619997215270985
12.9,4.5,42,1,20.0,13,0,0,0,0,6.57
12.1,4.4,33,1,22.5,5,0,0,0,0,6.42400013923645
15.7,4.1,32,1,22.5,13,0,0,0,0,5.98599986076355
16.2,4.4,26,1,22.5,11,0,0,0,0,6.42400013923645
12.8,4.6,22,1,22.5,12,0,0,0,0,6.7159998607635485
19.0,4.4,58,1,22.5,17,0,0,0,1,6.42400013923645
29.0,4.0,27,1,22.5,12,0,0,0,0,5.84
12.1,5.0,32,1,22.5,9,0,0,0,0,7.3
12.3,5.2,55,1,22.5,10,0,0,0,0,7.5919997215271
24.8,4.0,56,1,22.5,11,0,0,0,0,5.84
12.9,5.1,34,1,22.5,8,0,1,0,0,7.44599986076355
11.8,4.5,39,1,22.5,3,0,0,0,0,6.57
31.4,4.6,62,1,22.5,11,0,0,0,0,6.7159998607635485
19.0,5.1,53,1,22.5,4,0,1,0,0,7.44599986076355
13.0,5.7,38,1,22.5,3,1,1,0,0,8.3219997215271
11.8,4.8,42,1,22.5,2,0,0,0,0,7.008000278472901
13.0,6.2,32,1,22.5,4,0,0,0,0,9.0519997215271
11.8,5.0,43,1,22.5,1,0,0,0,0,7.3
27.1,5.0,69,1,22.5,8,0,0,0,0,7.3
5.2,4.6,38,1,22.5,8,0,0,0,0,6.7159998607635485
19.0,4.5,29,0,22.5,10,0,0,0,0,6.209999999999999
12.4,4.8,38,0,22.5,1,0,0,0,0,6.6240002632141115
25.2,5.0,55,0,22.5,9,0,0,0,0,6.9
14.3,4.8,36,0,22.5,10,0,0,0,0,6.6240002632141115
11.8,4.6,40,0,22.5,2,0,0,0,0,6.347999868392943
16.9,4.5,48,0,22.5,9,0,0,0,1,6.209999999999999
12.4,4.6,55,0,22.5,11,0,0,0,1,6.347999868392943
17.4,4.4,36,0,22.5,12,0,0,0,1,6.072000131607054
9.2,5.7,33,0,22.5,8,0,1,0,0,7.865999736785888
12.3,5.8,54,0,22.5,10,0,1,0,0,8.004000263214111
13.0,5.9,32,0,22.5,10,0,0,0,0,8.142000131607054
11.8,6.1,16,0,22.5,6,0,1,0,0,8.417999868392942
13.0,5.7,37,0,22.5,11,0,1,0,0,7.865999736785888
12.3,5.0,42,0,22.5,10,0,0,0,0,6.9
12.3,5.2,57,0,22.5,15,0,0,0,1,7.175999736785887
12.5,4.3,57,0,22.5,16,0,0,0,1,5.934000263214111
31.5,4.1,30,0,22.5,16,0,0,0,1,5.657999868392944
11.8,4.4,42,0,22.5,8,0,0,0,0,6.072000131607054
24.9,4.5,53,0,22.5,14,0,0,0,0,6.209999999999999
17.0,3.9,46,0,22.5,14,0,0,0,1,5.3820001316070565
2.0,8.1,20,0,22.5,14,0,0,0,0,11.178000526428221
11.8,4.4,33,0,22.5,8,0,0,0,0,6.072000131607054
7.4,5.0,31,0,22.5,12,0,0,0,0,6.9
12.4,4.7,55,0,22.5,14,0,0,0,1,6.485999736785887
2.0,6.0,22,0,22.5,14,0,0,0,0,8.28
14.0,5.0,41,0,22.5,8,0,0,0,0,6.9
25.7,5.0,45,0,22.5,7,0,0,0,0,6.9
24.5,3.9,50,0,21.929522,15,0,0,0,1,5.3820001316070565
11.8,4.5,28,0,22.5,12,0,0,0,0,6.209999999999999
4.1,5.4,24,0,22.5,13,0,0,0,0,7.452000131607054
4.2,5.6,29,0,22.0,17,0,0,0,0,7.727999868392943
4.2,3.9,29,0,22.0,18,0,0,0,1,5.3820001316070565
16.0,4.0,40,0,22.0,10,0,0,0,0,5.52
22.9,4.0,29,0,21.929522,21,0,0,0,0,5.52
16.0,3.8,42,0,21.929522,8,0,0,0,0,5.243999934196472
15.4,4.5,50,0,22.0,14,0,0,0,0,6.209999999999999
16.0,3.8,41,0,22.0,12,0,0,0,0,5.243999934196472
4.2,5.6,32,0,22.0,18,0,0,0,0,7.727999868392943
101.9,5.2,75,0,22.0,18,0,0,0,0,7.175999736785887
93.9,4.8,88,0,23.0,18,1,0,0,1,6.6240002632141115
25.7,4.9,50,1,22.0,10,0,1,0,0,7.15400013923645
16.0,4.1,40,1,22.0,10,0,0,0,0,5.98599986076355
16.1,4.5,32,1,22.0,19,0,0,0,0,6.57
16.0,4.4,40,1,22.0,7,1,1,0,0,6.42400013923645
16.0,4.5,41,1,22.0,11,0,0,0,0,6.57
24.7,4.5,26,1,22.0,10,0,0,0,0,6.57
16.0,3.9,42,1,22.0,8,0,0,0,0,5.69400013923645
15.4,4.6,43,1,22.0,16,0,0,0,0,6.7159998607635485
16.0,3.8,40,1,22.0,8,0,0,0,0,5.547999930381775
32.1,4.5,50,1,22.0,16,0,0,0,0,6.57
25.9,4.4,40,1,22.0,14,0,0,0,0,6.42400013923645
48.6,4.3,44,1,22.0,12,0,0,0,0,6.2780002784729
37.2,4.0,45,1,22.0,20,0,0,0,1,5.84
28.8,3.9,35,1,22.0,15,0,0,0,1,5.69400013923645
6.7,5.0,30,1,22.0,17,0,0,0,0,7.3
7.4,4.1,25,1,22.0,18,0,0,0,1,5.98599986076355
17.3,4.1,22,1,22.0,25,0,0,0,1,5.98599986076355
6.6,5.6,43,1,22.0,16,0,0,0,0,8.17599986076355
14.3,4.1,26,1,22.0,20,0,0,0,0,5.98599986076355
13.3,4.6,33,1,22.0,18,0,0,0,0,6.7159998607635485
8.3,4.9,26,1,22.0,23,0,0,0,0,7.15400013923645
12.7,4.5,39,1,22.0,27,0,0,0,1,6.57
16.5,4.1,47,1,22.0,14,0,0,0,0,5.98599986076355
20.6,4.1,38,1,22.0,21,0,0,0,0,5.98599986076355
